name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Hero Splendor iSmart,40000,2015,Individual,1st owner,10000,52271
Hero Super Splendor,30000,2011,Individual,1st owner,89000,
Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859
Yamaha Fazer [2009-2016],35000,2011,Individual,1st owner,15500,84751
Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549
Hero Super Splendor,40000,2017,Individual,2nd owner,80000,
Honda Shine,40000,2011,Individual,1st owner,8600,
Bajaj Discover 125 M,45000,2014,Individual,1st owner,40000,47186
Bajaj Avenger Street 150 [2018],60000,2016,Individual,1st owner,25000,80435
Yamaha Fazer [2009-2016],40000,2013,Individual,1st owner,34500,84751
Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095
Honda Activa [2000-2015],18000,2011,Individual,1st owner,28000,50267
TVS Star City,15000,2006,Individual,1st owner,40000,46575
Hero Honda Hunk,45000,2013,Individual,1st owner,40000,
TVS Star City,25000,2016,Individual,1st owner,50000,47108
Bajaj Pulsar 150,70000,2017,Individual,1st owner,24000,
Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859
TVS Victor,10000,2005,Individual,1st owner,55000,54852
Hero Honda Splendor Plus,25000,2012,Individual,1st owner,70000,
Honda Aviator,25000,2012,Individual,2nd owner,12000,59183
Bajaj Pulsar 180,50000,2010,Individual,1st owner,70000,85011
Bajaj Avenger [2015],60000,2015,Individual,2nd owner,16000,75502
Hero CD Dawn,35000,2014,Individual,1st owner,38000,
Hero Maestro,50000,2016,Individual,1st owner,100000,49412
Honda CB Shine SP,50000,2016,Individual,1st owner,45000,64750
Hero Honda CD Deluxe,25500,2012,Individual,1st owner,28990,
Hero Honda Hunk,35000,2010,Individual,1st owner,13000,
Hero Honda CD Deluxe,20000,2005,Individual,1st owner,15000,
Honda Activa 3G,40000,2016,Individual,1st owner,60000,54605
Bajaj Pulsar 135 LS,45000,2017,Individual,1st owner,22000,64589
Bajaj Pulsar 150 [2001-2011],30000,2008,Individual,1st owner,19500,
Hero Pleasure,30000,2013,Individual,1st owner,25000,49600
Hero Honda CBZ extreme,30000,2011,Individual,3rd owner,70000,
Bajaj Pulsar 150,40000,2014,Individual,2nd owner,65000,
Honda CB Twister,25000,2012,Individual,1st owner,86000,53857
Honda Livo,45000,2017,Individual,1st owner,30000,
Bajaj Pulsar AS200,65000,2015,Individual,1st owner,33000,92074
Honda Activa 3G,40000,2015,Individual,1st owner,36000,54605
Hero Honda Hunk,40000,2010,Individual,1st owner,41000,
Honda CB Hornet 160R,70000,2017,Individual,1st owner,28000,83340
Hero HF Deluxe,35000,2018,Individual,1st owner,15000,
Hero Splendor PRO,35000,2015,Individual,1st owner,35280,51994
Bajaj Boxer,15000,2004,Individual,1st owner,18000,
Royal Enfield Electra 5 S,99000,2012,Individual,1st owner,28000,
Royal Enfield Electra 5 S,90000,2012,Individual,1st owner,40000,
Hero Honda Hunk,20000,2010,Individual,1st owner,17000,
Hero Ignitor,36000,2016,Individual,1st owner,23000,65599
Bajaj Discover 100 M,32000,2014,Individual,1st owner,30000,44756
Honda Activa 3G,50000,2016,Individual,1st owner,6000,54605
Bajaj Pulsar 135 LS,50000,2015,Individual,1st owner,48000,64589
Bajaj Pulsar 220 DTS-i,60000,2014,Individual,1st owner,16000,
Hero Honda CBZ extreme,40000,2009,Individual,1st owner,50000,
Hero Honda CBZ extreme,35000,2012,Individual,1st owner,60000,
Royal Enfield Thunder 500,175000,2018,Individual,1st owner,3000,190000
UM Renegade Mojave,170000,2019,Individual,1st owner,1400,182000
KTM RC200,165000,2019,Individual,1st owner,4000,178000
Bajaj Dominar 400,145000,2019,Individual,1st owner,1200,160000
Royal Enfield Classic 350,135000,2019,Individual,1st owner,4100,147000
KTM RC390,135000,2017,Individual,1st owner,21700,237000
Hyosung GT250R,135000,2016,Individual,2nd owner,16500,345000
Royal Enfield Thunder 350,125000,2015,Individual,1st owner,15000,150000
Royal Enfield Thunder 350,120000,2018,Individual,1st owner,18000,150000
Royal Enfield Classic 350,120000,2019,Individual,1st owner,11000,147000
KTM RC200,120000,2018,Individual,1st owner,6000,178000
Royal Enfield Thunder 350,115000,2018,Individual,1st owner,8700,150000
KTM 390 Duke ,115000,2016,Individual,1st owner,7000,240000
Mahindra Mojo XT300,115000,2018,Individual,1st owner,35000,140000
Royal Enfield Classic 350,115000,2017,Individual,1st owner,17000,147000
Royal Enfield Classic 350,111000,2017,Individual,1st owner,17500,147000
Royal Enfield Classic 350,110000,2015,Individual,1st owner,33000,147000
Royal Enfield Thunder 500,110000,2017,Individual,1st owner,14000,190000
Royal Enfield Classic 350,110000,2017,Individual,1st owner,26000,147000
Royal Enfield Thunder 500,105000,2015,Individual,1st owner,5400,190000
Bajaj Pulsar RS200,105000,2018,Individual,1st owner,5700,126000
Royal Enfield Thunder 350,105000,2013,Individual,1st owner,6900,150000
Royal Enfield Bullet 350,105000,2018,Individual,1st owner,6000,117000
Royal Enfield Classic 350,100000,2015,Individual,1st owner,46500,147000
Royal Enfield Classic 500,95000,2014,Individual,1st owner,11500,175000
Royal Enfield Classic 500,90000,2011,Individual,1st owner,40000,175000
Bajaj Avenger 220,90000,2019,Individual,1st owner,1300,95000
Bajaj Avenger 150,75000,2018,Individual,1st owner,7000,80000
Honda CB Hornet 160R,80000,2019,Individual,1st owner,3000,87000
Yamaha FZ S V 2.0,78000,2019,Individual,1st owner,5000,84000
Honda CB Hornet 160R,75000,2019,Individual,1st owner,11000,87000
Yamaha FZ 16,75000,2017,Individual,1st owner,18000,82000
Bajaj Avenger 220,75000,2019,Individual,1st owner,3500,95000
Bajaj Avenger 220,72000,2018,Individual,1st owner,500,95000
TVS Apache RTR 160,65000,2019,Individual,1st owner,11800,81000
Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000
Honda CBR 150,65000,2016,Individual,1st owner,23500,120000
Hero Extreme,65000,2015,Individual,1st owner,16000,78700
Honda CB Hornet 160R,60000,2018,Individual,1st owner,15000,87000
Bajaj Avenger 220 dtsi,60000,2017,Individual,1st owner,16600,95000
Honda CBR 150,60000,2015,Individual,1st owner,32000,120000
Bajaj Avenger 150 street,60000,2018,Individual,1st owner,20000,80000
Yamaha FZ  v 2.0,60000,2017,Individual,1st owner,29000,84000
Yamaha FZ  v 2.0,60000,2018,Individual,1st owner,25000,84000
Bajaj Pulsar  NS 200,60000,2016,Individual,1st owner,25000,99000
TVS Apache RTR 160,60000,2014,Individual,1st owner,19000,81000
Hero Extreme,55000,2016,Individual,1st owner,15000,78700
